Month	Monthly_deaths	Monthly_cases	Temperature	Rainfall	Temperature_lag1	Rainfall_lag1
30-Nov-10	1590	69688	23.9	141.2	24.9	285.5
31-Dec-10	1954	94617	22.3	54.5	23.9	141.2
31-Jan-11	573	54710	22.4	38.3	22.3	54.5
28-Feb-11	186	28372	22.8	76.1	22.4	38.3
31-Mar-11	138	24993	23	69.1	22.8	76.1
30-Apr-11	161	18835	24.1	47.1	23	69.1
31-May-11	193	29785	24.6	149.5	24.1	47.1
30-Jun-11	546	56352	25.7	202.6	24.6	149.5
31-Jul-11	361	39207	25.9	194.4	25.7	202.6
31-Aug-11	202	24924	26.1	472.9	25.9	194.4
30-Sep-11	195	23253	26	112.1	26.1	472.9
31-Oct-11	205	28135	25.6	213.1	26	112.1
30-Nov-11	120	17023	24.6	76.9	25.6	213.1
31-Dec-11	47	6250	23.2	47.6	24.6	76.9
31-Jan-12	9	4367	22.5	24.1	23.2	47.6
29-Feb-12	18	3186	23.3	24.8	22.5	24.1
31-Mar-12	34	3279	23.7	56.4	23.3	24.8
30-Apr-12	52	6026	24.4	188.3	23.7	56.4
31-May-12	112	14338	25.3	113.7	24.4	188.3
30-Jun-12	110	9942	26.5	105.1	25.3	113.7
31-Jul-12	61	6673	26.4	80.8	26.5	105.1
31-Aug-12	64	6001	26.7	388.6	26.4	80.8
30-Sep-12	75	7621	26.5	144.1	26.7	388.6
31-Oct-12	100	11830	26	368.7	26.5	144.1
30-Nov-12	131	15238	24.5	107	26	368.7
31-Dec-12	142	12853	23.6	67.4	24.5	107
31-Jan-13	86	7257	23.5	13.6	23.6	67.4
28-Feb-13	14	4332	23.5	44.6	23.5	13.6
31-Mar-13	24	3433	23.7	36.1	23.5	44.6
30-Apr-13	25	2654	24.7	79.1	23.7	36.1
31-May-13	26	3435	25.3	105.6	24.7	79.1
30-Jun-13	52	4206	26.5	62.1	25.3	105.6
31-Jul-13	44	5147	26.1	182.1	26.5	62.1
31-Aug-13	44	5329	26.7	109.6	26.1	182.1
30-Sep-13	53	5995	26.3	127.5	26.7	109.6
31-Oct-13	99	7162	26.2	98.5	26.3	127.5
30-Nov-13	81	6962	24.7	63.4	26.2	98.5
31-Dec-13	62	2593	23.8	27.7	24.7	63.4
31-Jan-14	14	1629	23.6	39.9	23.8	27.7
28-Feb-14	4	1259	24	26.1	23.6	39.9
31-Mar-14	10	889	24.3	82.2	24	26.1
30-Apr-14	4	866	25.5	115.6	24.3	82.2
31-May-14	3	902	25.2	337.2	25.5	115.6
30-Jun-14	14	1017	26.8	293.9	25.2	337.2
31-Jul-14	7	1148	27	66.2	26.8	293.9
31-Aug-14	13	1025	26.9	248.5	27	66.2
30-Sep-14	28	1839	26.5	81.8	26.9	248.5
31-Oct-14	52	4577	26.1	123.8	26.5	81.8
30-Nov-14	95	6765	25.1	129.3	26.1	123.8
31-Dec-14	53	5392	24	55.6	25.1	129.3
31-Jan-15	36	4321	23.8	20.7	24	55.6
28-Feb-15	46	4055	23.7	58.4	23.8	20.7
31-Mar-15	22	3041	24.6	177	23.7	58.4
30-Apr-15	19	3098	25.1	54.8	24.6	177
31-May-15	13	1702	25.9	109.2	25.1	54.8
30-Jun-15	13	1732	26.7	51.2	25.9	109.2
31-Jul-15	21	2000	26.8	171.7	26.7	51.2
30-Aug-15	22	1744	27.5	164.6	26.8	171.7
30-Sep-15	18	2082	27.2	131.5	27.5	164.6
30-Oct-15	24	2608	26.8	188.2	27.2	131.5
30-Nov-15	63	4944	25.6	132.1	26.8	188.2
30-Dec-15	26	5436	25	38.5	25.6	132.1
30-Jan-16	60	5335	23.5	40	25	38.5
29-Feb-16	35	3264	24	96.7	23.5	40
30-Mar-16	34	3101	24.8	163.3	24	96.7
